  Mid_Edge_x   Mid_Edge_y   Num u      Num_u - Exact_u    Num v      Num_v - Exact_v
      0.0000       0.0313       0.0000       0.0000      -0.0000       0.0000
      0.0313       0.0000       0.0000       0.0000      -0.0000       0.0000
      0.0000       0.0938       0.0000       0.0000      -0.0000       0.0000
      0.0324       0.0615       0.0000      -0.0000      -0.0001       0.0000
      0.0000       0.1563       0.0000       0.0000      -0.0000       0.0000
      0.0335       0.1231       0.0001      -0.0000      -0.0005       0.0000
      0.0000       0.2188       0.0000       0.0000      -0.0000       0.0000
      0.0345       0.1848       0.0002      -0.0000      -0.0011       0.0001
      0.0000       0.2813       0.0000       0.0000      -0.0000       0.0000
      0.0354       0.2466       0.0003       0.0000      -0.0020       0.0001
      0.0000       0.3438       0.0000       0.0000      -0.0000       0.0000
      0.0361       0.3084       0.0004       0.0000      -0.0032       0.0001
      0.0000       0.4063       0.0000       0.0000      -0.0000       0.0000
      0.0367       0.3705       0.0005       0.0000      -0.0046       0.0002
      0.0000       0.4688       0.0000       0.0000      -0.0000       0.0000
      0.0370       0.4327       0.0006       0.0001      -0.0063       0.0002
      0.0000       0.5313       0.0000       0.0000      -0.0000       0.0000
      0.0371       0.4951       0.0007       0.0001      -0.0081       0.0002
      0.0000       0.5938       0.0000       0.0000      -0.0000       0.0000
      0.0370       0.5577       0.0007       0.0001      -0.0101       0.0002
      0.0000       0.6563       0.0000       0.0000      -0.0000       0.0000
      0.0367       0.6205       0.0007       0.0001      -0.0121       0.0003
      0.0000       0.7188       0.0000       0.0000      -0.0000       0.0000
      0.0361       0.6834       0.0007       0.0001      -0.0141       0.0003
      0.0000       0.7813       0.0000       0.0000      -0.0000       0.0000
      0.0354       0.7466       0.0007       0.0001      -0.0160       0.0003
      0.0000       0.8438       0.0000       0.0000      -0.0000       0.0000
      0.0345       0.8098       0.0007       0.0001      -0.0177       0.0003
      0.0000       0.9063       0.0000       0.0000      -0.0000       0.0000
      0.0335       0.8731       0.0006       0.0000      -0.0193       0.0003
      0.0000       0.9688       0.0000       0.0000      -0.0000       0.0000
      0.0324       0.9365       0.0005       0.0000      -0.0206       0.0004
      0.0000       1.0313       0.0000       0.0000      -0.0000       0.0000
      0.0313       1.0000       0.0004      -0.0000      -0.0217       0.0004
      0.0000       1.0938       0.0000       0.0000      -0.0000       0.0000
      0.0301       1.0635       0.0003      -0.0000      -0.0226       0.0004
      0.0000       1.1563       0.0000       0.0000      -0.0000       0.0000
      0.0290       1.1269       0.0003      -0.0001      -0.0233       0.0004
      0.0000       1.2188       0.0000       0.0000      -0.0000       0.0000
      0.0280       1.1902       0.0002      -0.0001      -0.0237       0.0004
      0.0000       1.2813       0.0000       0.0000      -0.0000       0.0000
      0.0271       1.2534       0.0001      -0.0001      -0.0241       0.0004
      0.0000       1.3438       0.0000       0.0000      -0.0000       0.0000
      0.0264       1.3166       0.0000      -0.0001      -0.0243       0.0004
      0.0000       1.4063       0.0000       0.0000      -0.0000       0.0000
      0.0258       1.3795      -0.0000      -0.0001      -0.0245       0.0004
      0.0000       1.4688       0.0000       0.0000      -0.0000       0.0000
      0.0255       1.4423      -0.0001      -0.0002      -0.0247       0.0004
      0.0000       1.5313       0.0000       0.0000      -0.0000       0.0000
      0.0254       1.5049      -0.0001      -0.0002      -0.0249       0.0004
      0.0000       1.5938       0.0000       0.0000      -0.0000       0.0000
      0.0255       1.5673      -0.0001      -0.0001      -0.0251       0.0004
      0.0000       1.6563      -0.0000       0.0000      -0.0000       0.0000
      0.0258       1.6295      -0.0002      -0.0001      -0.0254       0.0004
      0.0000       1.7188      -0.0000       0.0000      -0.0000       0.0000
      0.0264       1.6916      -0.0002      -0.0001      -0.0256       0.0004
      0.0000       1.7813      -0.0000       0.0000      -0.0000       0.0000
      0.0271       1.7534      -0.0002      -0.0001      -0.0259       0.0004
      0.0000       1.8438      -0.0000       0.0000      -0.0000       0.0000
      0.0280       1.8152      -0.0002      -0.0000      -0.0260       0.0003
      0.0000       1.9063      -0.0000       0.0000      -0.0000       0.0000
      0.0290       1.8769      -0.0002      -0.0000      -0.0261       0.0002
      0.0000       1.9688      -0.0000       0.0000      -0.0000       0.0000
      0.0301       1.9385      -0.0003       0.0000      -0.0261       0.0001
      0.0313       2.0000      -0.0005      -0.0001      -0.0258       0.0000
      0.0636       0.0303       0.0001       0.0000      -0.0001      -0.0000
      0.0938       0.0000       0.0000       0.0000      -0.0000       0.0000
      0.0659       0.0909       0.0004      -0.0000      -0.0006      -0.0000
      0.0971       0.0597       0.0005      -0.0000      -0.0004      -0.0000
      0.0680       0.1517       0.0007      -0.0000      -0.0016      -0.0001
      0.1004       0.1195       0.0011      -0.0001      -0.0014      -0.0000
      0.0699       0.2126       0.0010      -0.0000      -0.0032      -0.0001
      0.1034       0.1795       0.0018      -0.0001      -0.0033       0.0000
      0.0715       0.2737       0.0013      -0.0000      -0.0053      -0.0001
      0.1060       0.2398       0.0025      -0.0001      -0.0059       0.0000
      0.0728       0.3352       0.0016      -0.0000      -0.0079      -0.0001
      0.1082       0.3005       0.0033      -0.0000      -0.0093       0.0001
      0.0736       0.3970       0.0019      -0.0000      -0.0111      -0.0001
      0.1098       0.3617       0.0039      -0.0000      -0.0136       0.0001
      0.0741       0.4591       0.0021      -0.0000      -0.0146      -0.0001
      0.1108       0.4233       0.0046      -0.0000      -0.0184       0.0001
      0.0741       0.5216       0.0023      -0.0000      -0.0184      -0.0001
      0.1111       0.4856       0.0051       0.0000      -0.0239       0.0001
      0.0736       0.5845       0.0025      -0.0000      -0.0224      -0.0001
      0.1108       0.5483       0.0054       0.0000      -0.0297       0.0002
      0.0728       0.6477       0.0025      -0.0000      -0.0265      -0.0001
      0.1098       0.6117       0.0057       0.0000      -0.0357       0.0002
      0.0715       0.7112       0.0025      -0.0000      -0.0305      -0.0001
      0.1082       0.6755       0.0057       0.0000      -0.0418       0.0002
      0.0699       0.7751       0.0024      -0.0000      -0.0342      -0.0001
      0.1060       0.7398       0.0056       0.0000      -0.0476       0.0002
      0.0680       0.8392       0.0023      -0.0000      -0.0376      -0.0001
      0.1034       0.8045       0.0053       0.0000      -0.0530       0.0002
      0.0659       0.9034       0.0021      -0.0000      -0.0406      -0.0001
      0.1004       0.8695       0.0049      -0.0000      -0.0579       0.0003
      0.0636       0.9678       0.0019      -0.0000      -0.0432      -0.0001
      0.0971       0.9347       0.0045      -0.0000      -0.0622       0.0003
      0.0614       1.0322       0.0016      -0.0000      -0.0452      -0.0001
      0.0938       1.0000       0.0039      -0.0001      -0.0657       0.0003
      0.0591       1.0966       0.0014      -0.0000      -0.0468      -0.0001
