  Mid_Edge_x   Mid_Edge_y   Num u      Num_u - Exact_u    Num v      Num_v - Exact_v
     -1.0000      -0.8750       0.3296       0.0952      -0.1344      -0.1344
     -0.8750      -1.0000       0.0000       0.0000      -0.0000       0.0000
     -0.8750      -0.8750       0.2962       0.0618      -0.1344      -0.1344
     -1.0000      -0.6250       0.6499       0.0406      -0.0917      -0.0917
     -0.8750      -0.7500       0.4597       0.0222      -0.1009      -0.1009
     -0.8750      -0.6250       0.6232       0.0138      -0.0917      -0.0917
     -1.0000      -0.3750       0.8766       0.0172      -0.0669      -0.0669
     -0.8750      -0.5000       0.7385      -0.0115      -0.0649      -0.0649
     -0.8750      -0.3750       0.8538      -0.0056      -0.0669      -0.0669
     -1.0000      -0.1250       0.9905       0.0061      -0.0508      -0.0508
     -0.8750      -0.2500       0.9118      -0.0257      -0.0441      -0.0441
     -0.8750      -0.1250       0.9698      -0.0145      -0.0508      -0.0508
     -1.0000       0.1250       0.9872       0.0028      -0.0393      -0.0393
     -0.8750       0.0000       0.9688      -0.0312      -0.0302      -0.0302
     -0.8750       0.1250       0.9678      -0.0166      -0.0393      -0.0393
     -1.0000       0.3750       0.8654       0.0060      -0.0304      -0.0304
     -0.8750       0.2500       0.9072      -0.0303      -0.0199      -0.0199
     -0.8750       0.3750       0.8466      -0.0127      -0.0304      -0.0304
     -1.0000       0.6250       0.6241       0.0147      -0.0232      -0.0232
     -0.8750       0.5000       0.7262      -0.0238      -0.0116      -0.0116
     -0.8750       0.6250       0.6058      -0.0036      -0.0232      -0.0232
     -1.0000       0.8750       0.2618       0.0274      -0.0180      -0.0180
     -0.8750       0.7500       0.4248      -0.0127      -0.0049      -0.0049
     -0.8750       0.8750       0.2438       0.0094      -0.0180      -0.0180
     -0.8750       1.0000       0.0000       0.0000      -0.0000       0.0000
     -0.7500      -0.8750       0.1788      -0.0555      -0.0855      -0.0855
     -0.6250      -1.0000       0.0000       0.0000      -0.0000       0.0000
     -0.6250      -0.8750       0.1956      -0.0388      -0.0367      -0.0367
     -0.7500      -0.6250       0.6139       0.0045      -0.0783      -0.0783
     -0.6250      -0.7500       0.3925      -0.0450      -0.0535      -0.0535
     -0.6250      -0.6250       0.5893      -0.0201      -0.0649      -0.0649
     -0.7500      -0.3750       0.8557      -0.0037      -0.0590      -0.0590
     -0.6250      -0.5000       0.7124      -0.0376      -0.0402      -0.0402
     -0.6250      -0.3750       0.8356      -0.0238      -0.0512      -0.0512
     -0.7500      -0.1250       0.9766      -0.0078      -0.0465      -0.0465
     -0.6250      -0.2500       0.8966      -0.0409      -0.0311      -0.0311
     -0.6250      -0.1250       0.9576      -0.0268      -0.0421      -0.0421
     -0.7500       0.1250       0.9769      -0.0075      -0.0369      -0.0369
     -0.6250       0.0000       0.9580      -0.0420      -0.0231      -0.0231
     -0.6250       0.1250       0.9584      -0.0260      -0.0345      -0.0345
     -0.7500       0.3750       0.8571      -0.0022      -0.0290      -0.0290
     -0.6250       0.2500       0.8986      -0.0389      -0.0159      -0.0159
     -0.6250       0.3750       0.8389      -0.0205      -0.0276      -0.0276
     -0.7500       0.6250       0.6174       0.0080      -0.0223      -0.0223
     -0.6250       0.5000       0.7192      -0.0308      -0.0093      -0.0093
     -0.6250       0.6250       0.5995      -0.0099      -0.0214      -0.0214
     -0.7500       0.8750       0.2569       0.0225      -0.0174      -0.0174
     -0.6250       0.7500       0.4197      -0.0178      -0.0035      -0.0035
     -0.6250       0.8750       0.2400       0.0056      -0.0169      -0.0169
     -0.6250       1.0000       0.0000       0.0000      -0.0000       0.0000
     -0.5000      -0.8750       0.2323      -0.0021      -0.0290      -0.0290
     -0.3750      -1.0000       0.0000       0.0000      -0.0000       0.0000
     -0.3750      -0.8750       0.2270      -0.0073      -0.0212      -0.0212
     -0.5000      -0.6250       0.6007      -0.0087      -0.0499      -0.0499
     -0.3750      -0.7500       0.4067      -0.0308      -0.0159      -0.0159
     -0.3750      -0.6250       0.5864      -0.0230      -0.0348      -0.0348
     -0.5000      -0.3750       0.8466      -0.0128      -0.0433      -0.0433
     -0.3750      -0.5000       0.7082      -0.0418      -0.0206      -0.0206
     -0.3750      -0.3750       0.8299      -0.0294      -0.0355      -0.0355
     -0.5000      -0.1250       0.9686      -0.0157      -0.0374      -0.0374
     -0.3750      -0.2500       0.8908      -0.0467      -0.0189      -0.0189
     -0.3750      -0.1250       0.9517      -0.0327      -0.0326      -0.0326
     -0.5000       0.1250       0.9697      -0.0147      -0.0316      -0.0316
     -0.3750       0.0000       0.9521      -0.0479      -0.0156      -0.0156
     -0.3750       0.1250       0.9525      -0.0319      -0.0287      -0.0287
     -0.5000       0.3750       0.8505      -0.0089      -0.0259      -0.0259
     -0.3750       0.2500       0.8929      -0.0446      -0.0116      -0.0116
     -0.3750       0.3750       0.8332      -0.0262      -0.0243      -0.0243
     -0.5000       0.6250       0.6116       0.0022      -0.0205      -0.0205
     -0.3750       0.5000       0.7138      -0.0362      -0.0070      -0.0070
     -0.3750       0.6250       0.5945      -0.0149      -0.0196      -0.0196
     -0.5000       0.8750       0.2533       0.0189      -0.0164      -0.0164
     -0.3750       0.7500       0.4159      -0.0216      -0.0025      -0.0025
     -0.3750       0.8750       0.2373       0.0029      -0.0160      -0.0160
     -0.3750       1.0000       0.0000       0.0000      -0.0000       0.0000
     -0.2500      -0.8750       0.2483       0.0139      -0.0191      -0.0191
     -0.1250      -1.0000       0.0000       0.0000       0.0000       0.0000
     -0.1250      -0.8750       0.2358       0.0014      -0.0170      -0.0170
     -0.2500      -0.6250       0.6053      -0.0041      -0.0283      -0.0283
     -0.1250      -0.7500       0.4136      -0.0239      -0.0045      -0.0045
     -0.1250      -0.6250       0.5915      -0.0179      -0.0218      -0.0218
     -0.2500      -0.3750       0.8449      -0.0145      -0.0298      -0.0298
     -0.1250      -0.5000       0.7109      -0.0391      -0.0080      -0.0080
     -0.1250      -0.3750       0.8302      -0.0291      -0.0242      -0.0242
     -0.2500      -0.1250       0.9654      -0.0190      -0.0287      -0.0287
     -0.1250      -0.2500       0.8902      -0.0473      -0.0096      -0.0096
     -0.1250      -0.1250       0.9501      -0.0343      -0.0248      -0.0248
     -0.2500       0.1250       0.9656      -0.0187      -0.0264      -0.0264
     -0.1250       0.0000       0.9499      -0.0501      -0.0095      -0.0095
     -0.1250       0.1250       0.9498      -0.0346      -0.0240      -0.0240
     -0.2500       0.3750       0.8459      -0.0135      -0.0231      -0.0231
     -0.1250       0.2500       0.8897      -0.0478      -0.0082      -0.0082
     -0.1250       0.3750       0.8296      -0.0298      -0.0218      -0.0218
